,area,year,pop_estimate
310,Wisconsin,1996,5229986
311,Wyoming,1996,488167
312,United States,1997,272646925
313,Alabama,1997,4367935
314,Alaska,1997,612968
315,Arizona,1997,4736990
316,Arkansas,1997,2601090
317,California,1997,32486010
318,Colorado,1997,4018293
319,Connecticut,1997,3349348
320,Delaware,1997,751487
321,District of Columbia,1997,567736
322,Florida,1997,15186304
323,Georgia,1997,7685099
324,Hawaii,1997,1211640
325,Idaho,1997,1228520
326,Illinois,1997,12185715
327,Indiana,1997,5955267
328,Iowa,1997,2891119
329,Kansas,1997,2635292
330,Kentucky,1997,3952747
331,Louisiana,1997,4421071
332,Maine,1997,1254774
333,Maryland,1997,5157328
334,Massachusetts,1997,6226058
335,Michigan,1997,9809051
336,Minnesota,1997,4763390
337,Mississippi,1997,2777004
338,Missouri,1997,5481193
339,Montana,1997,889865
340,Nebraska,1997,1686418
341,Nevada,1997,1764104
342,New Hampshire,1997,1189425
343,New Jersey,1997,8218808
344,New Mexico,1997,1774839
345,New York,1997,18656546
346,North Carolina,1997,7656825
347,North Dakota,1997,649716
348,Ohio,1997,11277357
349,Oklahoma,1997,3372917
350,Oregon,1997,3304310
351,Pennsylvania,1997,12227814
352,Rhode Island,1997,1025353
353,South Carolina,1997,3859696
354,South Dakota,1997,744223
355,Tennessee,1997,5499233
356,Texas,1997,19740317
357,Utah,1997,2119784
358,Vermont,1997,597239
359,Virginia,1997,6829183
360,Washington,1997,5674747
361,West Virginia,1997,1819113
362,Wisconsin,1997,5266213
363,Wyoming,1997,489451
364,United States,1998,275854104
365,Alabama,1998,4404701
366,Alaska,1998,619932
367,Arizona,1998,4883342
368,Arkansas,1998,2626289
369,California,1998,32987675
370,Colorado,1998,4116639
371,Connecticut,1998,3365352
372,Delaware,1998,763335
373,District of Columbia,1998,565230
374,Florida,1998,15486559
375,Georgia,1998,7863536
376,Hawaii,1998,1215233
377,Idaho,1998,1252330
378,Illinois,1998,12271847
379,Indiana,1998,5998880
380,Iowa,1998,2902872
381,Kansas,1998,2660598
382,Kentucky,1998,3985390
383,Louisiana,1998,4440344
384,Maine,1998,1259127
385,Maryland,1998,5204464
386,Massachusetts,1998,6271838
387,Michigan,1998,9847942
388,Minnesota,1998,4813412
389,Mississippi,1998,2804834
390,Missouri,1998,5521765
391,Montana,1998,892431
392,Nebraska,1998,1695816
393,Nevada,1998,1853191
394,New Hampshire,1998,1205940
395,New Jersey,1998,8287418
396,New Mexico,1998,1793484
397,New York,1998,18755906
398,North Carolina,1998,7809121
399,North Dakota,1998,647532
400,Ohio,1998,11311536
401,Oklahoma,1998,3405194
402,Oregon,1998,3352449
403,Pennsylvania,1998,12245672
404,Rhode Island,1998,1031155
405,South Carolina,1998,3919235
406,South Dakota,1998,746058
407,Tennessee,1998,5570045
408,Texas,1998,20157531
409,Utah,1998,2165960
410,Vermont,1998,600416
411,Virginia,1998,6900918
412,Washington,1998,5769562
413,West Virginia,1998,1815609
414,Wisconsin,1998,5297672
415,Wyoming,1998,490787
416,United States,1999,279040168
417,Alabama,1999,4430141
418,Alaska,1999,624779
419,Arizona,1999,5023823
420,Arkansas,1999,2651860
421,California,1999,33499204
422,Colorado,1999,4226018
423,Connecticut,1999,3386401
424,Delaware,1999,774990
425,District of Columbia,1999,570213
426,Florida,1999,15759421
427,Georgia,1999,8045965
428,Hawaii,1999,1210300
429,Idaho,1999,1275674
430,Illinois,1999,12359020
431,Indiana,1999,6044969
432,Iowa,1999,2917634
433,Kansas,1999,2678338
434,Kentucky,1999,4018053
435,Louisiana,1999,4460811
436,Maine,1999,1266808
437,Maryland,1999,5254509
438,Massachusetts,1999,6317345
439,Michigan,1999,9897116
440,Minnesota,1999,4873481
441,Mississippi,1999,2828408
442,Missouri,1999,5561948
443,Montana,1999,897507
444,Nebraska,1999,1704764
445,Nevada,1999,1934718
446,New Hampshire,1999,1222014
447,New Jersey,1999,8359592
448,New Mexico,1999,1808082
449,New York,1999,18882725
450,North Carolina,1999,7949361
451,North Dakota,1999,644259
452,Ohio,1999,11335454
453,Oklahoma,1999,3437147
454,Oregon,1999,3393941
455,Pennsylvania,1999,12263805
456,Rhode Island,1999,1040402
457,South Carolina,1999,3974682
458,South Dakota,1999,750412
459,Tennessee,1999,5638706
460,Texas,1999,20558220
461,Utah,1999,2203482
462,Vermont,1999,604683
463,Virginia,1999,7000174
464,Washington,1999,5842564
465,West Virginia,1999,1811799
466,Wisconsin,1999,5332666
467,Wyoming,1999,491780
468,United States,2000,282162411
469,Alabama,2000,4452173
470,Alaska,2000,627963
471,Arizona,2000,5160586
472,Arkansas,2000,2678588
473,California,2000,33987977
474,Colorado,2000,4326921
475,Connecticut,2000,3411777
476,Delaware,2000,786373
477,District of Columbia,2000,572046
478,Florida,2000,16047515
479,Georgia,2000,8227303
480,Hawaii,2000,1213519
481,Idaho,2000,1299430
482,Illinois,2000,12434161
483,Indiana,2000,6091866
484,Iowa,2000,2929067
485,Kansas,2000,2693681
486,Kentucky,2000,4049021
487,Louisiana,2000,4471885
488,Maine,2000,1277072
489,Maryland,2000,5311034
490,Massachusetts,2000,6361104
491,Michigan,2000,9952450
492,Minnesota,2000,4933692
493,Mississippi,2000,2848353
494,Missouri,2000,5607285
495,Montana,2000,903773
496,Nebraska,2000,1713820
497,Nevada,2000,2018741
498,New Hampshire,2000,1239882
499,New Jersey,2000,8430621
500,New Mexico,2000,1821204
501,New York,2000,19001780
502,North Carolina,2000,8081614
503,North Dakota,2000,642023
504,Ohio,2000,11363543
505,Oklahoma,2000,3454365
506,Oregon,2000,3429708
507,Pennsylvania,2000,12284173
508,Rhode Island,2000,1050268
509,South Carolina,2000,4024223
510,South Dakota,2000,755844
511,Tennessee,2000,5703719
512,Texas,2000,20944499
513,Utah,2000,2244502
514,Vermont,2000,609618
515,Virginia,2000,7105817
516,Washington,2000,5910512
517,West Virginia,2000,1807021
518,Wisconsin,2000,5373999
519,Wyoming,2000,494300
520,United States,2001,284968955
521,Alabama,2001,4467634
522,Alaska,2001,633714
523,Arizona,2001,5273477
524,Arkansas,2001,2691571
525,California,2001,34479458
526,Colorado,2001,4425687
527,Connecticut,2001,3432835
528,Delaware,2001,795699
529,District of Columbia,2001,574504
530,Florida,2001,16356966
531,Georgia,2001,8377038
532,Hawaii,2001,1225948
533,Idaho,2001,1319962
534,Illinois,2001,12488445
535,Indiana,2001,6127760
536,Iowa,2001,2931997
537,Kansas,2001,2702162
538,Kentucky,2001,4068132
539,Louisiana,2001,4477875
540,Maine,2001,1285692
541,Maryland,2001,5374691
542,Massachusetts,2001,6397634
543,Michigan,2001,9991120
544,Minnesota,2001,4982796
545,Mississippi,2001,2852994
546,Missouri,2001,5641142
547,Montana,2001,906961
548,Nebraska,2001,1719836
549,Nevada,2001,2098399
550,New Hampshire,2001,1255517
551,New Jersey,2001,8492671
552,New Mexico,2001,1831690
553,New York,2001,19082838
554,North Carolina,2001,8210122
555,North Dakota,2001,639062
556,Ohio,2001,11387404
557,Oklahoma,2001,3467100
558,Oregon,2001,3467937
559,Pennsylvania,2001,12298970
560,Rhode Island,2001,1057142
561,South Carolina,2001,4064995
562,South Dakota,2001,757972
563,Tennessee,2001,5750789
564,Texas,2001,21319622
565,Utah,2001,2283715
566,Vermont,2001,612223
567,Virginia,2001,7198362
568,Washington,2001,5985722
569,West Virginia,2001,1801481
570,Wisconsin,2001,5406835
571,Wyoming,2001,494657
572,United States,2002,287625193
573,Alabama,2002,4480089
574,Alaska,2002,642337
575,Arizona,2002,5396255
576,Arkansas,2002,2705927
577,California,2002,34871843
578,Colorado,2002,4490406
579,Connecticut,2002,3458749
580,Delaware,2002,806169
581,District of Columbia,2002,573158
582,Florida,2002,16689370
583,Georgia,2002,8508256
584,Hawaii,2002,1239613
585,Idaho,2002,1340372
586,Illinois,2002,12525556
587,Indiana,2002,6155967
588,Iowa,2002,2934234
589,Kansas,2002,2713535
590,Kentucky,2002,4089875
591,Louisiana,2002,4497267
592,Maine,2002,1295960
593,Maryland,2002,5440389
594,Massachusetts,2002,6417206
595,Michigan,2002,10015710
596,Minnesota,2002,5018935
597,Mississippi,2002,2858681
598,Missouri,2002,5674825
599,Montana,2002,911667
600,Nebraska,2002,1728292
601,Nevada,2002,2173791
602,New Hampshire,2002,1269089
603,New Jersey,2002,8552643
604,New Mexico,2002,1855309
605,New York,2002,19137800
606,North Carolina,2002,8326201
607,North Dakota,2002,638168
608,Ohio,2002,11407889
609,Oklahoma,2002,3489080
610,Oregon,2002,3513424
611,Pennsylvania,2002,12331031
612,Rhode Island,2002,1065995
613,South Carolina,2002,4107795
614,South Dakota,2002,760020
615,Tennessee,2002,5795918
616,Texas,2002,21690325
617,Utah,2002,2324815
618,Vermont,2002,615442
619,Virginia,2002,7286873
620,Washington,2002,6052349
621,West Virginia,2002,1805414
622,Wisconsin,2002,5445162
623,Wyoming,2002,500017
624,United States,2003,290107933
625,Alabama,2003,4503491
626,Alaska,2003,648414
627,Arizona,2003,5510364
628,Arkansas,2003,2724816
629,California,2003,35253159
630,Colorado,2003,4528732
631,Connecticut,2003,3484336
632,Delaware,2003,818003
633,District of Columbia,2003,568502
634,Florida,2003,17004085
