state,year,population_estimate,total_incidents,total_incidents_per_capita,anti_american_indian_or_alaska_native,anti_arab,anti_asian,anti_atheism_agnosticism,anti_bisexual,anti_black_or_african_american,anti_buddhist,anti_catholic,anti_eastern_orthodox_russian_greek_other,anti_female,anti_gay_male,anti_gender_non_conforming,anti_heterosexual,anti_hindu,anti_hispanic_or_latino,anti_islamic_muslim,anti_jehovahs_witness,anti_jewish,anti_lesbian_female,anti_male,anti_mental_disability,anti_mormon,anti_multiple_races_group,anti_multiple_religions_group,anti_native_hawaiian_or_other_pacific_islander,anti_other_christian,anti_other_race_ethnicity_ancestry,anti_other_religion,anti_physical_disability,anti_protestant,anti_sikh,anti_transgender,anti_white,unknown_motivation,anti_lgbtq_grouped
Massachusetts,1997,6226058,444.0,7.1313180828061675,2.0,4.0,26.0,0.0,0.0,174.0,0.0,3.0,0.0,0.0,41.0,0.0,0.0,0.0,43.0,0.0,0.0,65.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,6.0,0.0,0.0,0.0,0.0,54.0,0.0,56.0
Michigan,1997,9809051,463.0,4.720130418324872,9.0,6.0,5.0,1.0,3.0,167.0,0.0,1.0,0.0,0.0,14.0,0.0,2.0,0.0,27.0,8.0,0.0,17.0,8.0,0.0,0.0,0.0,12.0,7.0,0.0,0.0,31.0,38.0,0.0,2.0,0.0,0.0,90.0,0.0,40.0
Minnesota,1997,4763390,214.0,4.49259875844724,3.0,0.0,17.0,0.0,0.0,93.0,0.0,2.0,0.0,0.0,23.0,0.0,1.0,0.0,0.0,2.0,0.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,49.0,0.0,30.0
Missouri,1997,5481193,158.0,2.882584138161163,0.0,0.0,2.0,0.0,0.0,89.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,5.0,0.0,0.0,8.0,3.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,16.0
Montana,1997,889865,15.0,1.6856489467503497,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
Nebraska,1997,1686418,3.0,0.17789183938975983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nevada,1997,1764104,45.0,2.5508700167337075,0.0,0.0,3.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,9.0,0.0,6.0
New Jersey,1997,8218808,694.0,8.444046873950578,0.0,6.0,25.0,0.0,0.0,287.0,0.0,9.0,0.0,0.0,23.0,0.0,2.0,0.0,37.0,0.0,0.0,190.0,15.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,32.0,16.0,0.0,2.0,0.0,0.0,36.0,0.0,40.0
New Mexico,1997,1774839,24.0,1.3522353295143954,0.0,0.0,2.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0
New York,1997,18656546,853.0,4.572121763589037,0.0,0.0,0.0,0.0,0.0,212.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,55.0,0.0,0.0,345.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,34.0,0.0,0.0,0.0,0.0,54.0,0.0,79.0
North Carolina,1997,7656825,42.0,0.5485302328314935,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,7.0
North Dakota,1997,649716,2.0,0.30782680432681353,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ohio,1997,11277357,265.0,2.34984136797301,0.0,1.0,5.0,0.0,0.0,131.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,4.0,5.0,0.0,8.0,9.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,64.0,0.0,36.0
Oklahoma,1997,3372917,41.0,1.2155650435513237,1.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,5.0
Oregon,1997,3304310,105.0,3.1776679548831677,1.0,0.0,4.0,0.0,0.0,29.0,0.0,2.0,0.0,0.0,20.0,0.0,0.0,0.0,6.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,7.0,2.0,1.0,0.0,0.0,0.0,10.0,0.0,31.0
Pennsylvania,1997,12227814,163.0,1.3330264918978978,0.0,2.0,4.0,0.0,0.0,90.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,10.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,20.0,0.0,4.0
Rhode Island,1997,1025353,43.0,4.193677689537164,0.0,0.0,4.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,11.0
South Carolina,1997,3859696,71.0,1.839523112701104,0.0,0.0,1.0,0.0,1.0,44.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,3.0
South Dakota,1997,744223,34.0,4.568523144272617,3.0,0.0,2.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,9.0,0.0,2.0
Tennessee,1997,5499233,57.0,1.036508182141037,0.0,0.0,1.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,27.0,0.0,1.0
Texas,1997,19740317,338.0,1.712231875506356,0.0,2.0,11.0,0.0,0.0,157.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,23.0,1.0,0.0,20.0,6.0,0.0,1.0,0.0,7.0,2.0,0.0,0.0,4.0,2.0,1.0,7.0,0.0,0.0,46.0,0.0,55.0
Utah,1997,2119784,52.0,2.453080125144826,2.0,0.0,1.0,0.0,0.0,12.0,0.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,7.0,0.0,0.0,0.0,0.0,5.0,0.0,8.0
Vermont,1997,597239,3.0,0.5023114699475419,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Virginia,1997,6829183,105.0,1.5375192025166113,0.0,2.0,1.0,0.0,1.0,49.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,4.0,1.0,0.0,8.0,2.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,18.0,0.0,10.0
Washington,1997,5674747,190.0,3.348166887440092,2.0,3.0,11.0,0.0,1.0,60.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,17.0,0.0,0.0,17.0,15.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,3.0,4.0,0.0,4.0,0.0,0.0,15.0,0.0,45.0
West Virginia,1997,1819113,3.0,0.16491553850695367,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wisconsin,1997,5266213,50.0,0.9494488734124503,1.0,0.0,12.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,0.0,10.0
Wyoming,1997,489451,6.0,1.22586326312542,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Arizona,1998,4883342,283.0,5.795211557986313,4.0,0.0,6.0,0.0,0.0,103.0,0.0,2.0,0.0,0.0,33.0,0.0,0.0,0.0,28.0,1.0,0.0,31.0,16.0,0.0,0.0,0.0,23.0,2.0,0.0,0.0,4.0,7.0,1.0,3.0,0.0,0.0,13.0,0.0,56.0
Arkansas,1998,2626289,3.0,0.11422962210175651,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
California,1998,32987675,1749.0,5.301980209275131,5.0,0.0,135.0,0.0,0.0,509.0,0.0,13.0,0.0,0.0,307.0,0.0,1.0,0.0,126.0,4.0,0.0,175.0,58.0,0.0,0.0,0.0,140.0,2.0,0.0,0.0,72.0,17.0,3.0,14.0,0.0,0.0,147.0,0.0,386.0
Colorado,1998,4116639,131.0,3.182207621314378,0.0,1.0,3.0,0.0,1.0,52.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,19.0,0.0,0.0,4.0,4.0,0.0,1.0,0.0,5.0,3.0,0.0,0.0,3.0,1.0,0.0,2.0,0.0,0.0,19.0,0.0,17.0
Connecticut,1998,3365352,111.0,3.2983176796959133,0.0,0.0,4.0,0.0,0.0,51.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,7.0,0.0,0.0,13.0,3.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,6.0,1.0,1.0,1.0,0.0,0.0,7.0,0.0,14.0
Delaware,1998,763335,19.0,2.489077534765208,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0
District of Columbia,1998,565230,4.0,0.7076765210622225,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Florida,1998,15486559,179.0,1.1558410102592835,0.0,0.0,2.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,19.0,1.0,0.0,3.0,0.0,0.0,27.0,0.0,26.0
Georgia,1998,7863536,34.0,0.43237546060703475,0.0,0.0,1.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
Idaho,1998,1252330,56.0,4.471664816781519,2.0,0.0,2.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,12.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,4.0,0.0,8.0
Illinois,1998,12271847,277.0,2.2571989367207723,1.0,7.0,9.0,0.0,0.0,119.0,0.0,0.0,0.0,0.0,38.0,0.0,1.0,0.0,13.0,1.0,0.0,12.0,5.0,0.0,3.0,0.0,4.0,1.0,0.0,0.0,5.0,4.0,2.0,1.0,0.0,0.0,45.0,0.0,49.0
Indiana,1998,5998880,50.0,0.8334889179313472,0.0,0.0,1.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,5.0
Iowa,1998,2902872,42.0,1.4468429885988774,0.0,0.0,1.0,0.0,0.0,22.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,7.0
Kansas,1998,2660598,54.0,2.0296189052235625,0.0,0.0,2.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,7.0
Kentucky,1998,3985390,48.0,1.2043990675943885,0.0,0.0,2.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,8.0
Louisiana,1998,4440344,10.0,0.2252077766947786,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0
Maine,1998,1259127,57.0,4.5269460507160915,0.0,0.0,2.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,5.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,25.0
Maryland,1998,5204464,282.0,5.418425413260616,0.0,0.0,14.0,0.0,0.0,145.0,0.0,2.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,34.0,1.0,0.0,0.0,0.0,19.0,4.0,0.0,0.0,1.0,3.0,0.0,4.0,0.0,0.0,44.0,0.0,11.0
Massachusetts,1998,6271838,443.0,7.063320194175933,5.0,2.0,22.0,0.0,0.0,140.0,0.0,3.0,0.0,0.0,72.0,0.0,0.0,0.0,57.0,0.0,0.0,61.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,1.0,0.0,0.0,53.0,0.0,91.0
Michigan,1998,9847942,392.0,3.980527098961387,3.0,0.0,4.0,0.0,3.0,152.0,0.0,5.0,0.0,0.0,17.0,0.0,1.0,0.0,11.0,6.0,0.0,16.0,18.0,0.0,1.0,0.0,9.0,3.0,0.0,0.0,13.0,34.0,1.0,3.0,0.0,0.0,66.0,0.0,64.0
Minnesota,1998,4813412,248.0,5.152270364556369,8.0,0.0,13.0,0.0,0.0,115.0,0.0,0.0,0.0,0.0,39.0,0.0,2.0,0.0,12.0,2.0,0.0,13.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,30.0,0.0,50.0
Mississippi,1998,2804834,3.0,0.10695820144792882,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
Missouri,1998,5521765,120.0,2.1732181648440307,1.0,0.0,2.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,11.0
Montana,1998,892431,22.0,2.465176579477853,5.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0
Nebraska,1998,1695816,52.0,3.066370408110314,1.0,0.0,3.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,6.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,16.0
Nevada,1998,1853191,60.0,3.2376587194736,0.0,0.0,2.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,13.0,0.0,7.0
New Hampshire,1998,1205940,16.0,1.326765842413387,0.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
New Jersey,1998,8287418,757.0,9.134328689587035,1.0,1.0,15.0,0.0,1.0,285.0,0.0,23.0,0.0,0.0,22.0,0.0,0.0,0.0,36.0,2.0,0.0,250.0,16.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,34.0,8.0,3.0,2.0,0.0,0.0,41.0,0.0,44.0
New Mexico,1998,1793484,31.0,1.728479317351033,2.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,11.0
New York,1998,18755906,776.0,4.137363452344024,0.0,0.0,0.0,0.0,0.0,206.0,0.0,0.0,0.0,0.0,93.0,0.0,0.0,0.0,47.0,0.0,0.0,291.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,18.0,0.0,0.0,0.0,0.0,60.0,0.0,129.0
North Carolina,1998,7809121,39.0,0.4994160034144688,0.0,0.0,2.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,6.0,0.0,4.0
North Dakota,1998,647532,2.0,0.3088650445074529,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Ohio,1998,11311536,254.0,2.2454952183328594,0.0,4.0,5.0,1.0,0.0,143.0,0.0,1.0,0.0,0.0,20.0,0.0,1.0,0.0,5.0,0.0,0.0,14.0,6.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,31.0,0.0,32.0
Oklahoma,1998,3405194,57.0,1.673913439293033,2.0,0.0,1.0,0.0,0.0,34.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,4.0,0.0,6.0
Oregon,1998,3352449,101.0,3.0127229377687774,0.0,0.0,5.0,0.0,2.0,26.0,0.0,0.0,0.0,0.0,14.0,0.0,1.0,0.0,17.0,0.0,0.0,9.0,8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,26.0
Pennsylvania,1998,12245672,164.0,1.3392486749604267,2.0,2.0,10.0,0.0,0.0,82.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,11.0,0.0,0.0,32.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,13.0,0.0,5.0
Rhode Island,1998,1031155,29.0,2.8123802920026573,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0
South Carolina,1998,3919235,66.0,1.6840021075541527,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12.0,0.0,4.0
South Dakota,1998,746058,19.0,2.5467188878076503,4.0,0.0,1.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,2.0
Tennessee,1998,5570045,73.0,1.3105818714211466,2.0,0.0,2.0,0.0,3.0,28.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,1.0,2.0,0.0,0.0,17.0,0.0,7.0
Texas,1998,20157531,301.0,1.4932384328219561,1.0,2.0,10.0,0.0,1.0,131.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,28.0,1.0,0.0,9.0,11.0,0.0,3.0,0.0,8.0,6.0,0.0,0.0,5.0,0.0,0.0,7.0,0.0,0.0,31.0,0.0,59.0
Utah,1998,2165960,67.0,3.0933165894107,0.0,0.0,2.0,0.0,1.0,16.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,10.0,1.0,0.0,5.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,8.0,3.0,0.0,1.0,0.0,0.0,9.0,0.0,8.0
Vermont,1998,600416,13.0,2.1651654852635507,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,4.0
Virginia,1998,6900918,158.0,2.289550462706556,0.0,1.0,3.0,1.0,0.0,66.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,25.0,0.0,0.0,1.0,0.0,6.0,8.0,0.0,0.0,6.0,2.0,0.0,1.0,0.0,0.0,29.0,0.0,8.0
Washington,1998,5769562,223.0,3.8651114244027536,3.0,5.0,7.0,0.0,2.0,94.0,0.0,2.0,0.0,0.0,30.0,0.0,0.0,0.0,13.0,0.0,0.0,17.0,4.0,0.0,0.0,0.0,9.0,4.0,0.0,0.0,8.0,4.0,1.0,1.0,0.0,0.0,13.0,0.0,42.0
West Virginia,1998,1815609,21.0,1.1566366987605812,0.0,0.0,3.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0
Wyoming,1998,490787,6.0,1.2225262690332057,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Alaska,1999,624779,5.0,0.8002829800617498,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Arizona,1999,5023823,252.0,5.016100288565102,1.0,2.0,10.0,0.0,0.0,93.0,0.0,2.0,0.0,0.0,37.0,0.0,0.0,0.0,24.0,2.0,0.0,25.0,4.0,0.0,0.0,0.0,21.0,3.0,0.0,0.0,8.0,7.0,0.0,0.0,0.0,0.0,11.0,0.0,43.0
Arkansas,1999,2651860,8.0,0.3016750507191179,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
California,1999,33499204,1949.0,5.818048691545029,5.0,0.0,126.0,0.0,0.0,600.0,0.0,8.0,0.0,0.0,339.0,0.0,0.0,0.0,162.0,5.0,0.0,280.0,67.0,0.0,0.0,0.0,72.0,3.0,0.0,0.0,82.0,27.0,2.0,15.0,0.0,0.0,127.0,0.0,436.0
Colorado,1999,4226018,155.0,3.667755319546675,1.0,1.0,7.0,0.0,0.0,60.0,0.0,3.0,0.0,0.0,14.0,0.0,0.0,0.0,17.0,4.0,0.0,9.0,3.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,7.0,1.0,2.0,1.0,0.0,0.0,11.0,0.0,26.0
Connecticut,1999,3386401,138.0,4.075122822134768,0.0,0.0,5.0,0.0,2.0,50.0,0.0,0.0,0.0,0.0,14.0,0.0,1.0,0.0,4.0,0.0,0.0,29.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,16.0,0.0,24.0
Delaware,1999,774990,37.0,4.774255151679377,0.0,0.0,2.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,5.0
