state,year,population_estimate,total_incidents,anti_american_indian_or_alaska_native,anti_arab,anti_asian,anti_atheism_agnosticism,anti_bisexual,anti_black_or_african_american,anti_buddhist,anti_catholic,anti_eastern_orthodox_russian_greek_other,anti_female,anti_gay_male,anti_gender_non_conforming,anti_heterosexual,anti_hindu,anti_hispanic_or_latino,anti_islamic_muslim,anti_jehovahs_witness,anti_jewish,anti_lesbian_female,anti_male,anti_mental_disability,anti_mormon,anti_multiple_races_group,anti_multiple_religions_group,anti_native_hawaiian_or_other_pacific_islander,anti_other_christian,anti_other_race_ethnicity_ancestry,anti_other_religion,anti_physical_disability,anti_protestant,anti_sikh,anti_transgender,anti_white,unknown_motivation,anti_lgbtq_grouped
North Carolina,1992,6897214,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
North Dakota,1992,638223,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ohio,1992,11029431,105.0,0.0,0.0,1.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,3.0
Oklahoma,1992,3220517,147.0,1.0,5.0,2.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,35.0,0.0,3.0
Oregon,1992,2991755,376.0,8.0,6.0,17.0,0.0,0.0,118.0,0.0,1.0,0.0,0.0,50.0,0.0,8.0,0.0,37.0,0.0,0.0,16.0,13.0,0.0,0.0,0.0,9.0,3.0,0.0,0.0,7.0,3.0,0.0,9.0,0.0,0.0,57.0,0.0,77.0
Pennsylvania,1992,12049450,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rhode Island,1992,1012581,48.0,0.0,0.0,1.0,0.0,0.0,20.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,6.0
South Carolina,1992,3620464,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
South Dakota,1992,712801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tennessee,1992,5049742,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Texas,1992,17759738,487.0,1.0,12.0,14.0,0.0,0.0,201.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,23.0,2.0,0.0,34.0,4.0,0.0,0.0,0.0,12.0,1.0,0.0,0.0,11.0,1.0,0.0,2.0,0.0,0.0,114.0,0.0,59.0
Utah,1992,1836799,12.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0
Vermont,1992,572751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virginia,1992,6414307,102.0,0.0,0.0,1.0,1.0,0.0,55.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,21.0,0.0,3.0
Washington,1992,5160757,375.0,3.0,1.0,25.0,0.0,0.0,137.0,0.0,2.0,0.0,0.0,57.0,0.0,2.0,0.0,15.0,1.0,0.0,21.0,3.0,0.0,0.0,0.0,20.0,1.0,0.0,0.0,14.0,2.0,0.0,3.0,0.0,0.0,56.0,0.0,72.0
West Virginia,1992,1806451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin,1992,5025398,67.0,1.0,0.0,7.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,22.0,0.0,17.0
Wyoming,1992,466251,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alabama,1993,4099156,5.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Alaska,1993,570193,24.0,0.0,0.0,2.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,5.0
Arizona,1993,3788576,208.0,1.0,1.0,9.0,0.0,0.0,87.0,0.0,1.0,0.0,0.0,11.0,0.0,0.0,0.0,21.0,0.0,0.0,23.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,8.0,4.0,0.0,1.0,0.0,0.0,34.0,0.0,13.0
