state,year,total_incidents,anti_american_indian_or_alaska_native,anti_arab,anti_asian,anti_atheism_agnosticism,anti_bisexual,anti_black_or_african_american,anti_buddhist,anti_catholic,anti_eastern_orthodox_russian_greek_other,anti_female,anti_gay_male,anti_gender_non_conforming,anti_heterosexual,anti_hindu,anti_hispanic_or_latino,anti_islamic_muslim,anti_jehovahs_witness,anti_jewish,anti_lesbian_female,anti_male,anti_mental_disability,anti_mormon,anti_multiple_races_group,anti_multiple_religions_group,anti_native_hawaiian_or_other_pacific_islander,anti_other_christian,anti_other_race_ethnicity_ancestry,anti_other_religion,anti_physical_disability,anti_protestant,anti_sikh,anti_transgender,anti_white,unknown_motivation,anti_lgbtq_grouped
Utah,1992,12,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,1
Virginia,1992,102,0,0,1,1,0,55,0,0,0,0,2,0,2,0,2,0,0,11,0,0,0,0,3,0,0,0,1,2,0,0,0,0,21,0,3
Washington,1992,375,3,1,25,0,0,137,0,2,0,0,57,0,2,0,15,1,0,21,3,0,0,0,20,1,0,0,14,2,0,3,0,0,56,0,72
Wisconsin,1992,67,1,0,7,0,0,13,0,0,0,0,7,0,1,0,1,0,0,0,8,0,0,0,2,0,0,0,2,1,0,0,0,0,22,0,17
Wyoming,1992,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,1993,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Alaska,1993,24,0,0,2,0,0,11,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,4,0,5
Arizona,1993,208,1,1,9,0,0,87,0,1,0,0,11,0,0,0,21,0,0,23,2,0,0,0,5,0,0,0,8,4,0,1,0,0,34,0,13
Arkansas,1993,13,1,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2
California,1993,364,0,1,36,0,0,72,0,0,0,0,102,0,0,0,6,1,0,42,14,0,0,0,7,0,0,0,8,1,0,1,0,0,73,0,116
Colorado,1993,178,1,3,8,0,0,49,0,1,0,0,27,0,1,0,13,0,0,27,10,0,0,0,5,1,0,0,0,0,0,1,0,0,22,0,47
Connecticut,1993,116,1,0,0,0,0,45,0,3,0,0,10,0,0,0,1,0,0,30,0,0,0,0,0,1,0,0,2,0,0,1,0,0,22,0,11
Delaware,1993,33,0,0,0,0,0,13,0,0,0,0,12,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,13
